hhid,year,hhsize,depshare,maxeduc,index1,index2,buff,chicken,cow,duck,pig,incwage,incfish,incfarm,incskill,land,flood,floodmonths
72,2012,4,.25,9,-1.3540927,-.7004233,0,1,1,0,0,0,0,1,0,.17999999,.16,1
72,2015,6,.16666667,9,-.19104391,-2.2689648,0,1,1,0,0,0,0,1,0,0,0,0
73,2012,2,0,1,-1.3540927,.51117086,0,1,0,0,0,0,0,1,0,1,.5,1
74,2012,10,.1,12,-.20111838,3.0226915,0,1,1,1,1,0,0,1,0,5.1199999,4.96,3.3333333
74,2015,10,.1,10,1.7312807,.93610066,0,1,1,0,0,1,0,0,0,5.0799999,2,1.3333334
75,2012,6,.16666667,8,-1.3540927,2.1240113,0,1,1,0,0,0,0,1,0,1.09,1,1
75,2015,10,.1,8,.96193039,-.088459171,0,1,1,0,0,0,0,1,0,.80559999,.80000001,1.6666666
76,2012,4,.25,4,.96193039,-1.6164992,0,0,0,0,0,1,0,0,0,0,0,0
76,2015,4,.25,5,.89534432,-2.459326,0,0,0,0,0,0,0,0,1,0,0,0
77,2012,4,.25,2,1.7312807,-1.6159719,0,0,0,0,0,0,1,0,0,0,0,0
77,2015,5,.2,5,-.26770446,-2.9960773,0,1,0,0,0,1,0,0,0,0,0,0
78,2012,5,.2,11,-1.3540927,-.61756939,0,1,0,0,0,0,1,0,0,0,0,0
78,2015,5,.2,11,.96193039,-1.9400398,0,1,0,0,0,1,0,0,0,.16,0,0
79,2012,5,.2,5,-1.3540927,-.83691555,0,1,1,1,0,0,0,1,0,.16,.16,1
79,2015,5,.2,7,.51172036,-1.9420899,0,1,1,0,0,1,0,0,0,.16249999,.16,1.6666666
80,2012,6,.16666667,8,1.7312807,-1.4726137,0,1,0,0,0,0,1,0,0,0,0,0
81,2012,5,.2,8,.96193039,4.4144106,0,1,1,1,0,0,0,1,0,4.5,1,1.6666666
81,2015,7,.14285715,8,.96193039,-.48750263,0,1,1,1,0,0,0,1,0,4,4,2.1666667
82,2012,10,.1,8,.96193039,2.9394319,1,1,1,0,0,0,0,1,0,8.0600004,6.5,1.6666666
82,2015,9,.11111111,9,.96193039,-.79796875,1,0,1,0,0,0,0,1,0,7,4,1.3333334
83,2012,8,.125,9,-.19104391,2.5970716,1,1,1,0,0,0,0,1,0,6.5,6,1
83,2015,6,.16666667,7,.96193039,1.0409904,0,1,1,0,0,0,0,1,0,4,4,1.3333334
84,2012,5,.2,7,-1.3540927,3.6260383,0,1,1,1,0,0,0,1,0,2.3199999,2,1
84,2015,5,.2,7,.96193039,1.7422824,0,1,1,0,0,1,0,0,0,4.0100002,4,1
85,2012,4,0,4,.57830644,3.7127261,0,1,1,0,0,0,0,1,0,4.0079999,4,1
85,2015,6,.16666667,3,.96193039,-.48065332,0,0,1,0,0,0,0,1,0,5.0100002,5,2
86,2012,6,.16666667,6,.57830644,1.6510557,0,1,1,0,0,0,0,1,0,2.0999999,2,1
86,2015,8,.125,3,1.7312807,-2.1054027,0,1,1,0,0,0,0,1,0,2,2,2
87,2012,6,.16666667,8,-.19104391,.79813099,0,1,1,0,0,0,0,1,0,7.0900002,4,.66666669
87,2015,5,.2,8,1.7312807,1.2012112,0,1,1,0,0,0,0,1,0,7.0999999,7,1
88,2012,3,.33333334,5,-.58474231,-.80020529,0,1,1,0,0,0,0,1,0,3,3,1
88,2015,5,.2,4,.96193039,-.85024297,0,1,1,0,0,0,0,1,0,5,5,1.3333334
89,2012,6,.16666667,7,.57830644,.25692204,0,1,1,0,0,0,0,1,0,10.52,10,.66666669
89,2015,6,.16666667,7,.57830644,1.8404948,0,0,1,0,0,0,0,1,0,10,8,1.3333334
90,2012,5,.2,6,-.58474231,2.3774531,0,1,1,1,0,0,0,1,0,4.5,3,1.6666666
90,2015,5,.2,6,.57830644,-.17013341,0,0,0,0,0,0,0,1,0,4,2,1.3333334
91,2012,10,.1,10,.57830644,.16479157,1,1,0,1,0,0,0,1,0,1.01,1,1.3333334
91,2015,6,.16666667,6,.96193039,.52418619,1,1,1,0,0,0,0,1,0,2,2,1
92,2012,7,.14285715,6,-.19104391,.29134333,0,0,1,0,0,0,0,1,0,1.005,1,1
92,2015,6,.16666667,6,.96193039,.17613707,0,0,1,0,0,1,0,0,0,2.01,2,1
93,2012,10,.1,5,-.19104391,.34228584,0,1,0,0,0,0,0,1,0,2.602,2,1
93,2015,9,.11111111,6,1.7312807,-.67691278,0,1,0,0,1,1,0,0,0,2.1125,2,1.3333334
94,2012,4,.25,6,-1.3540927,1.1264102,1,1,1,0,0,0,0,1,0,5.0524998,5,.66666669
94,2015,4,.25,6,-1.3540927,-1.8280035,0,1,1,0,0,0,0,1,0,4.0100002,4,1
95,2012,6,.16666667,11,-1.3540927,2.5472515,0,1,1,0,0,0,0,1,0,2.0150001,1,.66666669
95,2015,5,.2,6,-.20111838,-.19388917,0,1,1,0,0,1,0,0,0,2,2,.66666669
96,2012,5,.2,3,-1.3540927,1.9874921,1,1,0,0,0,0,0,1,0,2.2,2,.66666669
96,2015,6,.16666667,2,-.20111838,1.4887474,1,0,1,0,0,0,0,1,0,4,4,1
97,2012,4,.25,5,-.58474231,-1.7376926,0,1,0,0,0,0,0,1,0,2.03,2,1
97,2015,4,.25,5,.57830644,-.38984916,0,1,1,0,0,0,0,1,0,2.0050001,2,1
98,2012,4,.25,7,.96193039,.19375983,0,1,0,0,0,0,0,1,0,1.28,.63999999,1
98,2015,4,.25,10,.89534432,-.036598779,0,0,1,0,0,0,0,1,0,2,2,1.6666666
99,2012,8,.125,7,1.7312807,.45061266,0,1,1,0,0,0,0,1,0,1,1,.66666669
