Type,Order,Family,Genus,Genus.Species,Closest.Taxa,speciesName,Updated Taxonomy,In Master Database?,Genus in masterbase?,speciescode,SpeciesGroup,Number of them,,Find any papers?,Confirmed/Notes
Fish,Syngnathiformes,Syngnathidae,Doryichthys,Doryichthys boaja,,Doryichthys boaja,No,No,No,148,47,,,No,"This is a pipefish, unlikely to be consumed by humans"
Fish,Siluriformes,Siluridae,Wallago,Wallago attu,Wallago attu,Wallago attu,No,Yes,Yes,149,48,2,,,
Fish,Cypriniformes,Cyprinidae,Hypsibarbus,Hypsibarbus wetmorei,Hypsibarbus myitkyinae,Hypsibarbus wetmorei,No,No,Yes,150,4,,,,
Fish,Siluriformes,Bagridae,Hemibagrus,Hemibagrus wyckii,Hemibagrus nemurus,Hemibagrus wyckii,No,No,No,151,2,,,"Yes, 1",
Fish,Cypriniformes,Nemacheilidae,Tuberoschistura,Tuberoschistura cambodgiensis,,Tuberoschistura cambodgiensis,No,No,No,152,27,,,No,
Fish,Cypriniformes,Cobitidae,Acantopsis,Acantopsis spp,,"Acantopsis sp. ""cheek spot""",,,No,153,27,,,No,
Fish,Cypriniformes,Cyprinidae,Cyclocheilichthys,Cyclocheilichthys enoplos,Cyclocheilichthys enoplos,Cyclocheilichthys enoplos,No,Yes,Yes,159,61,1,,,
Fish,Cypriniformes,Cyprinidae,Cirrhinus,Cirrhinus cirrhosus,Cirrhinus cirrhosus,Cirrhinus cirrhosus,No,Yes,Yes,162,62,3,,,
Fish,Perciformes,Channidae,Channa,Channa gachua,Channa spp,Channa gachua,No,Yes,Yes,164,64,2,,,
Fish,Cypriniformes,Cyprinidae,Leptobarbus,Leptobarbus hoevenii,,Leptobarbus hoeveni,No,Yes,Yes,169,58,1,,,
,Cypriniformes,Cyprinidae,Rasbora,Rasbora tornieri / aurotaenia,Rasbora tornieri / aurotaenia,Rasbora tornieri / aurotaenia,,,,,,,,,
