Species,Community,Total,Consumed,Sold,numday,Tot_daily,Cons_daily,Sold_daily,LongMig,TG,TL,Pr_content,Fe_content,Zn_content,Ca_content,VitA_content,O3_content,Pr_MinBio,Fe_MinBio,Zn_MinBio,Ca_MinBio,VitA_MinBio,O3_MinBio,Pr_RDA_100g,Fe_RDA_100g,Zn_RDA_100g,Ca_RDA_100g,VitA_RDA_100g,O3_RDA_100g,Num_RDA_100,Num_RDA_50
Hemibagrus nemurus,Cambodia,595.8529886,286.8854462,197.247613,1103,5.402112317,2.600955994,1.788282983,NA,3.619999886,79.30000305,25.6610606,1.6040685,1.5540764,103.3962258,17.856093,283.7940918,50.66041581,470.6781537,263.8222934,435.2189807,2240.131702,100.4249236,1.973927738,0.212459404,0.379043024,0.229769391,0.044640233,0.995768743,1,2
Hemibagrus wyckii,Cambodia,12.54726,7.52858,2.637,1103,0.113755757,0.068255485,0.023907525,NA,3.75999999,86.62000275,25.6610606,1.6040685,1.5540764,103.3962258,17.856093,283.7940918,50.66041581,470.6781537,263.8222934,435.2189807,2240.131702,100.4249236,1.973927738,0.212459404,0.379043024,0.229769391,0.044640233,0.995768743,1,2
Henicorhynchus entmema,Cambodia,282.3947797,94.0141925,127.95668,1103,2.56024279,0.852349887,1.160078694,NA,2.24000001,18.29999924,21.577957,2.6632889,2.5586846,451.7474536,99.8024902,235.9968118,60.24666747,283.4840787,160.2385851,99.61317909,400.7916027,120.7643433,1.659842846,0.352753497,0.624069415,1.00388323,0.249506226,0.828058989,2,4
Henicorhynchus siamensis,Cambodia,623.776635,194.2511573,288.90905,1103,5.655273209,1.761116567,2.619302357,NA,2,24.39999962,20.4958883,2.7082854,2.844549,588.330985,300,242.2955792,63.42735582,278.7741646,144.1353269,76.48755742,133.3333333,117.6249278,1.576606792,0.358713298,0.693792439,1.307402189,0.75,0.850159927,2,5
Hypophthalmichthys molitrix,Cambodia,3.6998,3.26481,0,1103,0.033543064,0.029599365,0,NA,2,120,28.6794286,4.4,2.9,311,36.6666667,556.9703333,45.32865763,171.5909091,141.3793103,144.6945338,1090.90909,51.16969127,2.206109892,0.582781457,0.707317073,0.691111111,0.091666667,1.954281871,2,5
Hypsibarbus lagleri,Cambodia,52.5091299,26.7108751,8.35825,1103,0.476057388,0.242165685,0.075777425,NA,2.799999952,48.79999924,21.9578105,2.9882233,3.0822233,942.6059042,209.651774,244.2082764,59.20444573,252.6584944,133.0208619,47.73999378,190.7925663,116.7036614,1.689062346,0.395791166,0.75176178,2.094679787,0.524129435,0.856871145,2,5
Hypsibarbus malcolmi,Cambodia,92.82215,40.4273707,30.30187,1103,0.841542611,0.366521947,0.274722303,NA,3.200000048,61,21.9578105,2.8642977,2.7529644,536.8078723,96.2023653,244.2082764,59.20444573,263.5899194,148.9303676,83.82887495,415.7901926,116.7036614,1.689062346,0.379377179,0.671454732,1.192906383,0.240505913,0.856871145,2,4
Hypsibarbus vernayi,Cambodia,32.6570099,23.196343,4.3217999,1103,0.296074432,0.210302294,0.039182229,NA,2.99000001,26.35000038,21.9578105,2.8642977,2.7529644,536.8078723,96.2023653,244.2082764,59.20444573,263.5899194,148.9303676,83.82887495,415.7901926,116.7036614,1.689062346,0.379377179,0.671454732,1.192906383,0.240505913,0.856871145,2,4
Hypsibarbus wetmorei,Cambodia,45.92943,23.1683327,15.8994,1103,0.416404624,0.210048347,0.144146872,NA,2.99000001,46,21.9578105,2.8642977,2.7529644,536.8078723,96.2023653,244.2082764,59.20444573,263.5899194,148.9303676,83.82887495,415.7901926,116.7036614,1.689062346,0.379377179,0.671454732,1.192906383,0.240505913,0.856871145,2,4
Kryptopterus cheveyi,Cambodia,11.09772,4.895326,0,1103,0.100613962,0.044381922,0,NA,3.50999999,35,17.9454136,1.3110436,1.3042438,110.3927455,300,296.7783872,72.44190794,575.8771104,314.3584045,407.6354818,133.3333333,96.0312517,1.380416431,0.173648159,0.318108244,0.245317212,0.75,1.041327674,2,3
